spotify_track_uri,ts,platform,ms_played,track_name,artist_name,album_name,reason_start,reason_end,shuffle,skipped
2J3n32GeLmMjwuAzyhcSNe,2013-07-08 02:44:34,web player,3185,"Say It, Just Say It",The Mowgli's,Waiting For The Dawn,autoplay,clickrow,FALSE,FALSE
0mF3Ysmjl4QluLh4sZVnzf,2015-06-22 07:20:51,android,16317,The Best Is Yet To Come - 2008 Remastered,Frank Sinatra,Nothing But The Best,clickrow,endplay,TRUE,TRUE
2I9Q2Ry4TPOTgf4XwgULX4,2015-08-12 05:13:15,iOS,93622,El Taquicardio,El Komander,Belico,clickrow,endplay,FALSE,TRUE
22mek4IiqubGD9ctzxc69s,2015-08-25 21:49:52,android,1857,How Deep Is Your Love,Calvin Harris,How Deep Is Your Love,fwdbtn,fwdbtn,TRUE,TRUE
2uSfIjpKzS005os2fy3NPN,2015-08-29 18:03:05,android,5247,In A Week,Hozier,Hozier,fwdbtn,fwdbtn,TRUE,TRUE
1v5cgIyffYtfEx0swttdoE,2015-09-01 01:47:28,windows,5015,Bring Da Ruckus,Wu-Tang Clan,Enter The Wu-Tang (36 Chambers) [Expanded Edition],fwdbtn,fwdbtn,TRUE,TRUE
7yR50dqQ9I4fyvbk3pHfgl,2015-09-19 02:51:10,android,1532,Queen of Hearts,We The Kings,Somewhere Somehow,fwdbtn,fwdbtn,FALSE,TRUE
3IdtoXNER6fuBWv4fs0ICX,2015-10-02 23:44:31,android,3622,Eres una Niña,Gerardo Ortiz,Archivos de Mi Vida,backbtn,backbtn,FALSE,TRUE
3DlyHvU6blSBCJqzlJlVFK,2015-10-11 08:36:20,android,2089,Everybody's Changing,Keane,Hopes and Fears,appload,endplay,FALSE,TRUE
190jyVPHYjAqEaOGmMzdyk,2015-10-28 02:07:59,android,91728,Beauty And A Beat,Justin Bieber,Believe,trackdone,fwdbtn,TRUE,TRUE
5vHJLtCTx7vqXI0ABzIzzH,2015-12-19 06:52:10,android,0,A Escondidas,Lucah,A Escondidas,appload,endplay,TRUE,TRUE
